Ville; Prix; Surface; NbrChambre; NbrPiece; Date; MatchCriteria; WebSite; ToCheck; UrlDetail
FONTENAY SOUS BOIS; 664000; 110; 0; 4; 20/05/2017 23:12:16; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2224&mt=02238&menu=2
FONTENAY SOUS BOIS; 699900; 180; 0; 6; 20/05/2017 23:12:16; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2199&mt=01976&menu=2
FONTENAY SOUS BOIS; 770000; 188; 0; 6; 20/05/2017 23:12:17; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2283&mt=foufifou&menu=2
FONTENAY SOUS BOIS; 870000; 300; 0; 7; 20/05/2017 23:12:17; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2059&mt=2040&menu=2
FONTENAY SOUS BOIS; 1650000; 200; 0; 6; 20/05/2017 23:12:17; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2202&mt=02219&menu=2
NOGENT SUR MARNE; 884000; 140; 0; 6; 20/05/2017 23:12:18; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/4-40-26_20751889/maison-6-piece-s-150-m2.html
BRY SUR MARNE; 395000; 49; 0; 3; 20/05/2017 23:12:19; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/3-33-29_20656133/appartement-bry-sur-marne-3-piece-s-49-m2.html
NOGENT SUR MARNE; 283000; 44; 0; 2; 20/05/2017 23:12:20; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/3-33-28_20657691/appartement-nogent-sur-marne-2-piece-s-44-m2.html
NOGENT SUR MARNE; 338000; 60; 0; 3; 20/05/2017 23:12:22; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/3-33-29_19233728/appartement-nogent-sur-marne-3-piece-s-60-4-m2-avec-terrasse-et-jardin-de-120m2.html
LE PERREUX SUR MARNE; 167500; 38; 0; 2; 20/05/2017 23:12:23; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/3-33-28_19594502/appartement-le-perreux-sur-marne-2-piece-s-38-m2.html
BRY SUR MARNE; 697000; 120; 0; 5; 20/05/2017 23:12:25; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/4-40-26_20647796/maison-bry-sur-marne.html
VINCENNES; 895000; 102; 3; 5; 20/05/2017 23:12:28; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/599-MAISON-DE-5-PIECES-VINCENNES.html
FONTENAY SOUS BOIS; 699000; 27; 3; 4; 20/05/2017 23:12:28; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/626-4-PIECES-FONTENAY-PEPINIERE.html
VINCENNES; -666; -666; -666; -666; 20/05/2017 23:12:29; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/637-Appartement-5-pieces-80-1m2.html
VINCENNES; 585000; -666; 3; 5; 20/05/2017 23:12:29; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/629-5-PIECES-VINCENNES-LIMITE-FONTENAY.html
MONTREUIL; 575000; 110; 3; 5; 20/05/2017 23:12:29; True; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/639-5-pieces.html
VINCENNES; 565000; -666; 2; 3; 20/05/2017 23:12:29; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/615-VINCENTES-CARRE-MAGIQUE.html
VINCENNES; -666; -666; -666; -666; 20/05/2017 23:12:29; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/627-3-PIECES-VINCENNES-DEFRANCE-PROCHE-BOIS.html
MONTREUIL; 530000; -666; 2; 4; 20/05/2017 23:12:30; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/614-4-pieces-avec-grand-balcon.html
; -666; -666; -666; -666; 20/05/2017 23:12:30; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/621-FONTENAY-A-2-PAS-DU-BOIS.html
VINCENNES; -666; -666; -666; -666; 20/05/2017 23:12:30; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/636-Appartement-3-pieces-51-06-m2.html
MONTREUIL; 410000; -666; 2; 4; 20/05/2017 23:12:30; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/631-3-4-pieces.html
MONTREUIL; 315000; -666; 1; 2; 20/05/2017 23:12:30; False; www.lagenceduchateau.com; True; http://www.lagenceduchateau.com/630-2-Pieces.html
